you أنت
oven فرن
quite الى حد كبير
scared مفزوع
single غير مرتبطة
sound يبدو
again تكرارا
community تواصل اجتماعي
definition تعريف
focus التركيز
individual فرد
matter شيء
safety سلامة
turn منعطف _ دور
everything كل شيء
kind عطوف
quality جودة
soil تربة
ask يطلب
board مجلس
buy يشترى
development تطوير
guard حارس
hold معلق
language لغة
later في وقت لاحق
main رئيسي
offer عرض
oil نفط
picture صورة
potential القدره
professional المحترفين
rather على الاصح
access التمكن من
additional إضافي
almost تقريبيا
especially خاصة
garden حديقة
international دولي
lower أدنى
management إدارة
open افتح
player لاعب
range نطاق
rate معدل
reason السبب
travel السفر
variety تشكيلة
video فيديو
week أسبوع
above في الاعلى
according تبعا
cook يطبخ
determine يحدد
future مستقبل
site موقع
alternative لبديل
demand الطلب
ever أي وقت مضى
exercise ممارسه الرياضه
following التالي
image صورة
quickly بسرعة
special خاص
working عمل
case قضية
cause موجه
coast ساحل
probably المحتمل
security الأمان
TRUE صحيح
whole كامل
action عمل
age سن
among من بين
bad سيئة
boat قارب
country بلد
dance رقص
exam امتحان
excuse عذر
grow تنمو
movie فيلم
organization منظمة
record سجل
result نتيجة
section الجزء
across عير
already سابقا
below أقل
building بناء
mouse الفأر
allow السماح
cash السيولة النقدية
class صف دراسي
clear صافي
dry جاف
easy سهل
emotional عاطفي
equipment معدات
live يعيش
nothing لا شيئ
period فترة
physics الفيزياء
plan خطة
store متجر
tax ضريبة
analysis التحليلات
cold البرد
commercial تجاري
directly مباشرة
full ممتلىء
involved متضمن
itself بحد ذاتها
low قليل
old عمر او قديم
policy سياسات
political سياسي
purchase عملية الشراء
series مسلسل
side الجانب
subject موضوعات
supply إمداد
therefore وبالتالي
thought فكرت
basis أساس
boyfriend حبيب
deal صفقة
direction اتجاه
mean يعني
primary خبرات
space الفضاء
strategy إستراتيجية
technology تقنية
worth قيمة
army جيش
camera الة تصوير
fall يقع
freedom الحريه
paper ورق
rule القاعدة
similar مماثل
stock المخزون
weather الجو
yet بعد
bring احضر
chance فرصة
environment بيئة
everyone كل واحد
figure الشكل
improve يحسن
man رجل
model نموذج
necessary من الضروري
positive إيجابي
produce ينتج
search بحث
source مصدر
beginning بداية
child طفل
earth أرض
else آخر
healthy صحيح
instance نموذج
maintain الحفاظ
month شهر
present حاضر
program برنامج
spend أنفق
talk حديث
truth حقيقة
upset منزعج
begin يبدأ
chicken دجاج
close قريب
creative خلاق
design التصميم
feature خاصية
financial الأمور المالية
head رئيس
marketing تسويق
material مواد
medical طبي
purpose هدف
question سؤال
rock صخر
salt ملح
tell يخبار
themselves أنفسهم
traditional التقليديين
university جامعة
writing جاري الكتابة
act فعل
article شرط
birth ولادة
car السيارات
cost كلفة
department  قسم، أقسام
difference فرق
dog كلب
drive قائد
exist يخرج
federal الفيدرالية
goal المرمى
green لون أخضر
late متأخر
news الإخبارية
object هدف
scale مقياس
sun الشمس
support الدعم
tend ينزع
thus هكذا
audience جمهور
enjoy استمتع
entire بأكمله
fishing صيد السمك
fit لائق بدنيا
glad مسرور
growth نمو
income الإيرادات
marriage زواج
note ملاحظة
perform نفذ
profit ربح
proper لائق
related ذات صلة
remove إزالة
rent تأجير
return إرجاع
run يركض
speed سرعة
strong قوي
style نمط
throughout على مدار
user المستعمل
war حرب
actual فعلي
appropriate ملائم
bank بنك
combination مزيج
complex مركب
content المحتوى
craft حرفة
due بسبب
easily بسهولة
effective فعال
eventually في النهاية
exactly بالضبط
failure بالفشل
half نصف
inside في داخل
meaning المعنى
medicine دواء
middle وسط
outside الخارج
philosophy فلسفة
regular عادي
reserve الاحتياطي
standard اساسي
bus أوتوبيس
decide يقرر
exchange تبادل
eye عين
fast بسرعة
fire إطلاق النار
identify التعرف
independent مستقل
leave غادر
original أصلي
position وضع
pressure الضغط
reach تصل
rest راحة
serve يخدم
stress ضغط عصبى
teacher معلم
watch راقب
wide واسع
advantage مميزات
beautiful جميل
benefit المنفعة
box صندوق
charge تكلفة
communication الاتصالات
complete اكتمال
continue استمر
frame الإطار
issue مشكلة
limited محدود
night ليل
protect يحمي
require يتطلب
significant كبير
step خطوة
successful ناجح
unless ما لم
active نشيط
break استراحة
chemistry كيمياء
cycle دورة
disease مرض
disk قرص
electrical الكهرباء
energy طاقة
expensive غالي الثمن
face وجه
interested يستفد
item غرض
metal فلز
nation الأمة
negative نفي
occur يحدث
paint رسم
pregnant حامل
review مراجعة
road طريق
role وظيفة
room مجال
safe آمنة
screen شاشة
soup حساء
stay البقاء
structure هيكل
view رأي
visit يزور
visual المرئية
write اكتب
wrong خاطئ - ظلم - يظلم
account الحساب
advertising إعلان
affect يؤثر
ago منذ
anyone أي واحد
approach نهج
avoid تجنب
ball كرة
behind خلف
certainly من المؤكد
concerned المعنية
cover التغطية
discipline انضباط
location موقعك
medium متوسط
normally بشكل طبيعي
prepare إعداد
quick سريع
ready جاهز
report نقل
rise ترتفع
share شارك
success نجاح
addition إضافة
apartment شقة
balance الرصيد
bit قليل
black أسود
bottom الأسفل
build يبني
choice خيار
education التعليم
gift هدية مجانية
impact تأثير
machine آلة
math الرياضيات
moment الوقت الحاضر
painting لوحة
politics سياسة
shape شكل
straight مستقيم
tool أداة
walk سير
white أبيض
wind ريح
achieve التوصل
address عنوان
attention اهتمام
average معدل
believe يصدق
beyond وراء - فى الجانب الاخر
career حياة مهنية
culture حضاره
decision قرار
direct مباشرة
event حدث
excellent ممتاز
extra إضافي
intelligent ذكي
interesting مثير للانتباه
junior نجارة
morning صباح
pick قطف او يقطف
poor مسكين
pot وعاء
pretty جميلة
property خاصية
receive تسلم
seem يبدو
shopping التسوق
sign إشارة
student طالب علم
table جدول
task مهمة
unique فريدة من نوعها
wood خشب
anything اي شى
classic الكلاسيكية
competition منافسة
condition شرط
contact اتصل
credit الإئتمان
currently حاليا
discuss يناقش
distribution توزيع
egg بيضة
entertainment وسائل الترفيه
final أخير
happy سعيدة
hope آمل أن
ice جليد
lift مصعد
mix مزج
network شبكة الاتصال
north شمال
office مكتب. مقر. مركز
overall شاملة
population عدد السكان
president رئيس
private نشر
realize تدرك
responsible مسؤول
separate متفرق
square ميدان
stop قف
teach يعلم
unit وحدة
western الغربي
yes نعم
alone وحده
attempt محاولة
category الفئة
cigarette سيجارة
concern هم
contain يحتوي
context سياق الكلام
cute جذاب
date تاريخ
effect تأثير
extremely الى ابعد حد
familiar مألوف
finally أخيرا
fly يطير
follow إتبع
helpful معاون، مساعد، مفيد، فاعل خير
introduction المقدمة
link حلقة الوصل
official الرسمية
opportunity فرصة
perfect في احسن الاحوال
performance أداء
post بريد
recent الأخيرة
refer أشير
solve يحل
star نجمة
voice صوت بشري
willing مستعد
born ولد
bright مشرق
broad واسع
capital رأس المال
challenge تحد
comfortable مريح
constantly باستمرار
describe يصف
despite على الرغم من
driver سائق
flat عريضة
flight رحلة طيران
friend صديق
gain مكسب
him له
length الطول
magazine مجلة
maybe يمكن
newspaper جريدة
nice لطيف
prefer تفضل
prevent يحول دون
properly على وجه صحيح
relationship علاقة
rich ثري
save حفظ
self الذات
shot اطلاق النار
soon هكذا
specifically خاصة
stand يقف
teaching تعليم
warm دافئ
wonderful رائع
young صغيرة
ahead امام
brush فرشاة
cell خلية - زنزانة
couple زوج
daily اليومي
dealer تاجر
debate النقاش
discover يكتشف
ensure التأكد من
exit خروج
expect توقع
experienced يختبر
fail يفشل
finding العثور على
front أمامي
function وظيفة
heavy ثقيل
hello أهلا
highly إدراك
immediately فورا
impossible غير ممكن
invest استثمار
lack قلة
lake بحيرة
lead قيادة
listen استمع
living معيشة
member عضو
message رسالة
phone هاتف
plant مصنع
plastic بلاستيك
reduce خفض
relatively نسبيا
scene مشهد
serious جدي
slowly ببطء
speak تحدث
spot بقعة
summer الصيف
taste المذاق
theme سمة
towards من اتجاه
track مسار
valuable ذو قيمة
whatever ما من أي وقت مضى
wing جناح
worry قلق
appear يظهر
appearance مظهر خارجي
association منظمة
brain مخ
button زر
click انقر
concept مفهوم
correct صيح
customer عميل
death الموت
desire رغبة
discussion نقاش
explain يشرح
explore يكتشف
express يعبر
fairly تماما
fixed مثبت
foot قدم
gas غاز
handle مقبض
housing الإسكان
huge تسربت
inflation تضخم اقتصادي
influence تأثير
insurance تأمين
involve يتضمن
leading قيادة
lose تخسر
meet يجتمع
mood مزاج
notice تنويه
primarily بالدرجة الأولى
rain مطر
rare نادر
release إفراج
sell باع
slow بطيء
technical تقني
typical عادي
upon بناء على
wall حائط
woman امرأة
advice النصيحة
afford تحمل
agree يوافق على
base يتمركز
blood دم
clean ينظف
competitive منافس
completely بالكامل
critical حرج
damage تلف
distance مسافه: بعد
effort مجهود
electronic الإلكترونية
expression التعبير
feeling شعور
finish ينهي
fresh طازج
hear يسمع
immediate مباشر
importance أهمية
normal عادي
opinion رأي
otherwise غير ذلك
pair زوج
payment دفع
plus زائد
press صحافة
reality واقع
remain تظل
represent تركيز
responsibility المسئولية
ride اركب
savings مدخرات
secret سر
situation قارة
skill مهارة
spread الانتشار
spring الخريف
staff طاقم عمل
statement بيان
sugar السكر
target استهداف
text نص
tough قاس
ultimately أخيرا
wait انتظر
wealth ثروة
whenever كلما كان
whose ملك من
widely على نطاق واسع
animal حيوان
application تطبيق
apply تطبيق
author مؤلف
aware واع
brown بني
budget تبرع
cheap رخيص
city مدينة
complicated معقد
county مقاطعة
deep عميق
depth عمق
discount خصم
display عرض
educational تعليمي
environmental البيئة
estate ملكية
file ملف
flow تدفق
forget ننسى
foundation المؤسسة
global عالمي
grandmother جدة
ground أرض
heart قلب
hit يضرب
legal قانوني
lesson درس
minute اللحظة
near قرب
objective هدف
officer ضابط
perspective إنطباع
phase مرحلة
photo صورة فوتوغرافية
recently مؤخرا
recipe وصفة
recommend نوصي
reference المرجعي
register تسجيل
relevant ذو صلة
rely يعتمد
secure يؤمن
seriously عنجد
shoot أطلق النار
sky سماء
stage المسرح
stick عصا
studio استوديو
thin نحيف
title لقب
topic عنوان
touch لمس. اتصال. صلة
trouble مشكلة
vary يتغير
accurate دقيق
advanced المتقدمة
bowl صحن
bridge كوبري
campaign الحملة الانتخابية
cancel إلغاء
capable قادر
character حرف
chemical المواد الكيميائية
club النادي
collection مجموعة
cool بارد
cry بكاء
dangerous خطير
depression كآبة
dump أحمق
edge حافة
evidence دليل
extreme أقصى الحدود
fan المعجب
frequently في كثير من الأحيان
fully تماما
generate انشاء
imagination خيال
letter رسالة
lock قفل
maximum أقصى
mostly خاصة
myself نفسي
naturally بطبيعة الحال
nearly تقريبا
novel رواية
obtain يحصل على
occasionally من حين اخر
option اختيار
organized نظمت
pack رزمة
park منتزه
passion شغف
percentage النسبة المئوية
plenty كثير
push يدفع
quarter ربع
resource موارد
select تحديد
setting ضبط
skin جلد
sort نوع
weight وزن
accept قبول
ad ميلادي
agency وكالة
baby طفل
background معرفتي
carefully بحرص
carry احمل
clearly بوضوح
college كلية
communicate نقل
complain تذمر
conflict نزاع
connection الإتصال
criticism نقد
debt دين
depend تعتمد
description وصف
die موت
dish طبق
dramatic دراماتيكي
eat تأكل
efficient فعال
enter أدخل
essentially بشكل أساسي
exact بالضبط
factor عامل
fair معرض
fill ملء
fine بخير
formal رسمي
forward إلى الأمام
fruit فاكهة
glass زجاج
happen يحدث
indicate يشير
joint مشترك
jump القفز
kick ركلة
master رئيس
memory ذاكرة
muscle عضلة
opposite عكس
pass يمر
patience الصبر
pitch يقذف
possibly ربما
powerful قوي
red أحمر
remote التحكم عن بعد
secretary سكرتير
slightly بعض الشيء
solution المحلول
somewhat قليلا
strength الخضوع ل
suggest يقترح
survive ينجو
total المجموع
traffic حركة المرور
treat يعالج
trip رحلة قصيرة
vast واسع
vegetable الخضروات
abuse تعاطي
administration الادارة
appeal مناشدة
appreciate يقدر
aspect جانب
attitude موقف سلوك
beat يهزم
burn يحرق
chart جدول
compare قارن
deposit الوديعة
director مدير
equally على قدم المساواة
foreign أجنبي
gear هيأ
greatly الى حد كبير
hungry جوعان
ideal المثالي
imagine يتصور
kitchen مطبخ
land الأرض
log سجل
lost ضائع
manage تدبير
mother أم
necessarily بالضرورة
net صافي
party حفل
personality الشخصية
personally شخصيا
practical عملي
principle المبدأ
print مطبعة
psychological نفسي
psychology علم النفس
raise رفع
rarely نادرا
recommendation توصية
regularly بشكل منتظم
relative نسبيا
response استجابة
sale تخفيض السعر
season الموسم
selection اختيار
severe شديد
signal الإشارة
similarly بصورة مماثلة
sleep ينام
smooth ناعم
somewhere مكان ما
spirit روح
storage تخزين
street شارع
suitable متكافئ
tree شجرة
version الإصدار
wave لوح
advance تقدم
alcohol الكحول
anywhere في أى مكان
argument جدال
basically في الأساس
belt حزام
bench مقاعد البدلاء
closed مغلق
closely بعناية
commission لجنة
complaint شكوى
connect الاتصال
consist تتكون
contract عقد
contribute مساهمة
copy ينسخ
dark داكن
differ اختلف
double مزدوج
draw ألفت
drop يسقط
effectively على نحو فعال
emphasis تشديد
encourage يشجع
equal مساو
everybody الجميع
expand يوسع
firm مؤسسة
fix يصلح
frequent متكرر
highway الطريق السريع
hire توظيف
initially في البداية
internal داخلي
join انضم
kill قتل
literally حرفيا
loss خسارة
mainly في الأساس
membership عضوية
merely مجرد
minimum الحد الأدنى
numerous عديد
path طريق
possession تملك
preparation تجهيز
progress تقدم
project المشروع
prove إثبات
react تتفاعل
recognize تعرف
relax يستريح
replace يستبدل
sea لحر
sensitive حساس
sit تجلس
south جنوب
status الحالة
steak شريحة لحم
stuff أمور
sufficient كاف
tap صنبور
ticket تذكرة
tour جولة
union اتحاد
unusual غير عادي
win يفوز
agreement اتفاق
angle زاوية
attack هجوم
blue أزرق
borrow اقتراض
breakfast وجبة افطار
cancer سرطان
claim مطالبة
confidence الثقة
consistent ثابت
constant مستمر
cultural الثقافية
currency عملة
daughter بنت
degree الدرجة العلمية
doctor طبيب
dot نقطة
drag يجر
dream حلم
drink يشرب
duty واجب
earn يكسب
emphasize التأكيد على
employment توظيف
enable يمكن
engineering هندسة
entry دخول
essay مقال
existing موجود
famous مشهور
father الآب
fee مصاريف
finance المالية
gently بلطف
guess خمن
hopefully نأمل
hour ساعة
interaction التفاعل
juice عصير
limit حد
luck حظ
milk حليب
minor تحت السن القانوني
mixed مختلط
mixture خليط
mouth فم
nor ولا
operate العمل
originally في الأصل
peace سلام
pipe يضخ
please من فضلك
preference التفضيل
previous السابق
pull يحذب
pure نقي
raw الخام
reflect يعكس
region منطقة
republic جمهورية
roughly بقسوة
seat مقعد
send إرسال
significantly بشكل كبير
soft لين
solid صلب
stable مستقر
storm عاصفه
substance مستوى
team فريق
tradition التقليد
trick الخدعة
virus فايروس
wear البس، ارتداء
weird غريب
wonder يتعجب
actor الممثل
afraid خائف
afternoon بعد الظهر
amazing رائعة حقا
annual سنوي
anticipate يتوقع
assume افترض
bat مضرب
beach شاطئ بحر
blank فارغ
busy مشغول
catch قبض على
chain سلسلة
classroom قاعة الدراسة
consideration الاعتبار
count عدد
cream كريم
crew طاقم
dead متوفى
delivery توصيل
detail تفاصيل
detailed مفصلة
device جهاز
difficulty صعوبة
doubt شك
drama دراما
election انتخاب
engage يشترك - ينخرط
engine محرك
enhance تحسين
examine يختبر
FALSE خاطئة
feed يطعم
football كرة القدم
forever مدى الحياة
gold ذهب
guidance إرشاد
hotel الفندق
impress اعجاب
install ثبيت
interview مقابلة
kid طفل
mark علامة
match تطابق
mission مهمة
nobody لا أحد
obvious بديهي
ourselves أنفسنا
owner صاحب
pain الم
participate مشاركة
pleasure بكل سرور
priority أفضلية
protection الحماية
repeat كرر
round مستدير
score نتيجة
screw برغي
seek طلب
sex الجنس
sharp حاد
shop متجر
shower دش
sing يغني
slide الانزلاق
strip قطاع
suggestion اقتراح
suit تناسب
tension توتر
thick سميك
tone نغمة، رنه
totally تماما
twice مرتين
variation الاختلاف
whereas بينما
window نافذة او شباك
wise حكمة
wish رغبة
agent وكيل
anxiety القلق
atmosphere الغلاف الجوي
awareness وعي
band حافظة مسافة
bath حمام
block منع
bone عظم
bread رغيف الخبز
calendar التقويم
candidate مرشح
cap قبعة
careful حذر
climate مناخ
coat معطف
collect يجمع
combine يجمع
command أمر
comparison مقارنة
confusion ارتباك
construction اعمال بناء
contest منافسة
corner ركن
court ملعب تنس
cup فنجان
dig حفر
district منطقة
divide يقسم
door باب
east شرق
elevator مصعد
elsewhere في مكان آخر
emotion المشاعر
employee الموظف
employer صاحب العمل
equivalent ما يعادل
everywhere في كل مكان
except إلا
finger اصبع اليد
garage كراج
guarantee ضمان
guest الزبون
hang يشنق
height ارتفاع
himself نفسه
hole الفجوة
hook صنارة صيد
hunt مطاردة
implement ينفذ
initial مبدئي
intend اعتزم
introduce تقديم
latter أخير
layer طبقة
leadership قيادة
lecture محاضرة
lie راحه
mall مجمع تجاري
manager إدارة
manner طريقة
march مارس
married متزوج \ متزوجة
meeting لقاء
mention أشير
narrow ضيق
nearby مجاور
neither لا هذا ولا ذاك
nose الأنف
obviously بوضوح
operation عملية
parking موقف سيارات
partner شريك
perfectly تماما
physically جسديا
profile الملف الشخصي
proud فخور
recording تسجيل
relate ترتبط
respect احترام
rice أرز
routine نمط
sample عينة
schedule برنامج
settle تسوية
smell رائحة
somehow بطريقة ما
spiritual روحانية
survey الدراسة الاستقصائية
swimming سباحة
telephone هاتف
tie ربطة عنق
tip تلميح
transportation وسائل النقل
unhappy تعيس
wild بري
winter شتاء
absolutely إطلاقا
acceptable مقبول
adult الكبار
aggressive عنيف
airline شركة طيران
apart منفصل
assure ضم
attract جذب
bag كيس
battle معركة
bed سرير
bill مشروع قانون
boring ممل
bother يزعج
brief نبذة
cake كيك
charity الاعمال الخيرية
code الشفرة
cousin ولد عم
crazy مجنون
curve منحنى
designer مصمم
dimension البعد
disaster كارثة
distinct خامد
distribute نشر
dress فستان
ease يسهل
eastern الشرقية
editor محرر
efficiency نجاعة
emergency حالة طوارئ
escape هرب
evening اخر النهار
excitement الإثارة
expose تعرض
extension تمديد
extent مدى
farm مزرعة
feedback ردود الفعل
fight يقاتل
gap فجوة
gather يجتمع
grade رتبة
guitar غيتار
hate يكره
holiday يوم الاجازة
homework العمل في المنزل
horror رعب
horse حصان
host مضيف
husband الزوج
leader زعيم
loan يقرض
logical منطقي
mistake خطأ
mom أمي
mountain جبل
nail مسمار
noise الضوضاء
none لا أحد
occasion مناسبات
outcome حصيلة
overcome التغلب على
owe مدينون
package صفقة
patient صبور
pause وقفة
permission الإذن
phrase العبارة
presentation عرض تقديمي
prior قبل
promotion ترقية وظيفية
proof دليل
race العنصر
reasonable مسؤول
reflection انعكاس
refrigerator ثلاجة
relief ارتياح
repair يصلح
resolution الدقة
revenue إيرادات
rough الخام
sad حزين
sand رمل
scratch خدش
sentence جملة
session جلسة
shoulder كتف
sick مرض
singer مغني
smoke دخان
stomach معدة
strange غريب
strict صارم
strike إضراب
string سلسلة
succeed ينجح
successfully بنجاح
suddenly فجأة
suffer يعاني
surprised فوجئ
tennis تنس
throw يرمي
tourist سائح
towel منشفة
truly حقا
vacation عطلة
virtually عمليا
west غرب
wheel عجلة
wine خمر
acquire يستحوذ على
adapt يتكيف
adjust اضبط
administrative إداري
altogether كليا
anyway على أي حال
argue تجادل
arise تنشأ
arm ذراع
aside جانبا
associate مساعد
automatic التلقائي
automatically تلقائيا
basket سلة
bet رهان
blow نفخ
bonus علاوة
border الحدود
branch فرع شجرة
breast صدر
brother شقيق
buddy صاحب
bunch حزمة
cabinet خزانة
childhood مرحلة الطفولة
chip رقاقة
church كنيسة
civil مدني
clothes ملابس
coach مدرب رياضي
coffee قهوة
confirm تؤكد
cross تعبر
deeply بشدة
definitely بالتااكيد
deliberately عن عمد
dinner وجبة عشاء
document وثيقة
draft مسودة
drawing رسم
dust تراب
employ توظيف
encouraging تشجيع
expert خبير
external خارجي
floor أرضية
former سابق
god الله
golf جولف
habit عادة
hair شعر
hardly بالكاد
hearing سمع
hurt يؤذي
illegal غير شرعي
incorporate أدخل
initiative مبادر
iron حديد
judge قاضي
judgment حكم
justify يبرر
knife سكين
lab مختبر
landscape المناظر الطبيعيه
laugh يضحك
lay يضع
league الدوري
loud بصوت عال
mail بريد
massive جسيم
measurement قياس
mess تعبث
mobile التليفون المحمول
mode الوضع
mud طين
nasty مقرف
native محلي
opening افتتاح
orange البرتقالي
ordinary عادي
organize تنظم
ought ينبغي
parent الأبوين
pattern نمط
pin دبوس
poetry الشعر
police شرطة
pool بركة سباحة
possess تملك
possibility إمكانية
pound جنيه
procedure إجراء
queen ملكة
ratio نسبة
readily بسهولة
relation علاقة
relieve اعفاء
request طلب
respond رد
restaurant مطعم
retain يحتفظ
royal رويال
salary راتب
satisfaction إشباع
sector قطاع
senior أول
shame عار
shelter مأوى
shoe حذاء
shut اغلق
signature التوقيع
significance الدلالة
silver فضة
somebody شخص ما
song أغنية
southern الجنوبي
split الانقسام
strain التواء
struggle صراع
super ممتاز
swim السباحة
tackle يعالج
tank خزان
terribly رهيب
tight مشدود
tooth سن
town قرية
train قطار
trust يثق
unfair غير منصف
unfortunately لسوء الحظ
upper أعلى
vehicle مركبة
visible مرئي
volume الصوت
wash غسل
waste يضيع
wife زوجة
yellow الأصفر
yours خاصة بك
accident حادثة
airport مطار
alive على قيد الحياة
angry غاضب
appointment موعد
arrival وصول
assist مساعدة
assumption افتراض
bake خبز
bar شريط
baseball البيسبول
bell جرس
bike دراجة هوائية
blame لوم
boy صبي
brick قالب طوب
calculate حساب
chair كرسي
chapter الفصل
closet خزانة
clue فكرة
collar طوق
comment تعليق
committee لجنة
compete تنافس
concerning بخصوص
conference مؤتمر
consult شاور
conversation محادثة
convert يتحول
crash يصطدم
database قاعدة البيانات
deliver ايصال
dependent يعتمد
desperate متحرق إلى
devil شيطان
diet حمية
enthusiasm حماس
error خطأ
exciting مثير
explanation تفسير
extend تمديد
farmer مزارع
fear يخاف
fold يطوى
forth من الواضح
friendly ودود
fuel الوقود
funny مضحك
gate بوابة
girl فتاة
glove قفاز
grab إختطاف
gross أزداد
hall صالة
herself نفسها
hide يخفي
historian مؤرخ
hospital مستشفى
ill سوف
injury إصابة
instruction تعليمات
investigate التحقيق
jacket السترة
lucky سعيد الحظ
lunch غداء
maintenance اعمال صيانة
manufacturer الصانع
meal وجبة
miss يغيب
monitor مراقب
mortgage الرهن العقاري
negotiate تفاوض
nurse ممرض
pace سرعة
panic هلع
peak قمة
perception المعرفة
permit يسمح
pie فطيرة
plane طائرة
poem قصيدة
presence حضور
proposal اقتراح
provided قدمت
qualify مؤهلة
quote اقتبس
realistic حقيقي
reception استقبال
recover استعادة
replacement إستبدال
resolve حل
retire تقاعد
revolution ثورة
reward جائزة
rid يتخلص
river نهر
roll تدحرج
row صف
sandwich ساندويتش
shock صدمة
sink مكتب المدير
slip ينزلق
son ابن
sorry آسف
spare إضافي
speech خطاب
spite رغم
spray رذاذ
surprise مفاجئة
suspect مشتبه فيه
sweet حلو
swing تأرجح
tea شاي
till حتى
transition انتقال
twist تحريف
ugly البشع
unlikely من غير المرجح
upstairs الطابق العلوي
usual معتاد
village قرية
warning تحذير
weekend عطلة نهاية الاسبوع
weigh وزن
welcome أهلا بك
winner الفائز
worker عامل
